Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2017",,,,,,,,,, release date: 03/06/2020,,,,
,,,,,,,,,,,,,,
"SOURCE: 2017 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-460).,,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,,
24,Maryland,05:  <20,"92,724","93,429","380,354",G,"17,076,306",G,,,,,,
24,Maryland,06:  20-99,"11,374","13,717","423,757",G,"20,731,038",G,,,,,,
24,Maryland,07:  100-499,"2,917","6,935","351,430",G,"19,000,047",G,,,,,,
24,Maryland,08:  <500,"107,015","114,081","1,155,541",G,"56,807,391",G,,,,,,
24,Maryland,09:  500+,"2,959","25,365","1,179,938",G,"69,825,506",G,,,,,,
25,Massachusetts,01:  Total,"144,078","179,828","3,316,716",G,"216,666,284",G,,,,,,
25,Massachusetts,02:  <5,"83,268","83,363","137,128",G,"7,594,521",G,,,,,,
25,Massachusetts,03:  5-9,"24,630","24,868","161,987",G,"7,497,000",G,,,,,,
25,Massachusetts,04:  10-19,"15,234","15,829","202,948",G,"9,983,087",G,,,,,,
25,Massachusetts,05:  <20,"123,132","124,060","502,063",G,"25,074,608",G,,,,,,
25,Massachusetts,06:  20-99,"13,915","16,946","523,411",G,"28,660,579",G,,,,,,
25,Massachusetts,07:  100-499,"3,674","8,797","482,491",G,"30,210,859",G,,,,,,
25,Massachusetts,08:  <500,"140,721","149,803","1,507,965",G,"83,946,046",G,,,,,,
25,Massachusetts,09:  500+,"3,357","30,025","1,808,751",G,"132,720,238",G,,,,,,
26,Michigan,01:  Total,"174,092","222,553","3,859,949",G,"186,678,533",G,,,,,,
26,Michigan,02:  <5,"98,742","98,881","162,156",G,"7,244,235",G,,,,,,
26,Michigan,03:  5-9,"30,562","30,853","201,905",G,"7,516,206",G,,,,,,
26,Michigan,04:  10-19,"19,769","20,729","264,662",G,"10,401,216",G,,,,,,
26,Michigan,05:  <20,"149,073","150,463","628,723",G,"25,161,657",G,,,,,,
26,Michigan,06:  20-99,"17,610","23,031","673,020",G,"28,274,641",G,,,,,,
26,Michigan,07:  100-499,"4,050","12,003","590,651",G,"28,190,613",G,,,,,,
26,Michigan,08:  <500,"170,733","185,497","1,892,394",G,"81,626,911",G,,,,,,
26,Michigan,09:  500+,"3,359","37,056","1,967,555",G,"105,051,622",G,,,,,,
