,year,candidate,state,amount_spent,vote_share,cost_per_vote_share,party,party_partition,party_dummy
199,1980,reagan_80,AR,100.0,47.52,2.1043771043771042,Republican,Republican,1
205,1984,mondale_84,DC,54139.0,13.73,3943.117261471231,Democratic,Democratic,0
206,1984,mondale_84,CA,1700.0,57.51,29.560076508433315,Democratic,Democratic,0
208,1984,mondale_84,MA,500.0,51.22,9.761811792268645,Democratic,Democratic,0
212,1984,mondale_84,TX,1250.0,63.61,19.65099827071215,Democratic,Democratic,0
214,1984,mondale_84,NY,3025.0,53.84,56.18499257057949,Democratic,Democratic,0
218,1984,mondale_84,VA,75.0,62.29,1.2040455931931289,Democratic,Democratic,0
219,1984,mondale_84,FL,400.0,65.32,6.123698714023271,Democratic,Democratic,0
224,1984,mondale_84,PA,600.0,53.34,11.248593925759279,Democratic,Democratic,0
225,1984,mondale_84,MN,4800.0,49.54,96.89140088817118,Democratic,Democratic,0
229,1984,mondale_84,CT,270.0,60.73,4.445908117898897,Democratic,Democratic,0
230,1984,mondale_84,AZ,100.0,66.42,1.505570611261668,Democratic,Democratic,0
235,1984,mondale_84,IL,1000.0,56.17,17.803097739006585,Democratic,Democratic,0
241,1984,mondale_84,TN,100.0,57.84,1.7289073305670815,Democratic,Democratic,0
242,1984,mondale_84,NC,40.0,61.9,0.6462035541195477,Democratic,Democratic,0
255,1984,reagan_84,OH,600.0,40.14,14.947683109118087,Republican,Republican,1
256,1984,reagan_84,DC,175000.0,85.38,2049.6603420004685,Republican,Republican,1
257,1984,reagan_84,CA,206958.0,41.27,5014.732251029804,Republican,Republican,1
258,1984,reagan_84,OR,1500.0,43.74,34.293552812071326,Republican,Republican,1
260,1984,reagan_84,NV,1000.0,31.97,31.279324366593684,Republican,Republican,1
261,1984,reagan_84,WA,2000.0,42.86,46.66355576294914,Republican,Republican,1
262,1984,reagan_84,LA,1000.0,38.18,26.191723415400734,Republican,Republican,1
263,1984,reagan_84,TX,3000.0,36.11,83.07947936859595,Republican,Republican,1
264,1984,reagan_84,IN,500.0,37.68,13.26963906581741,Republican,Republican,1
