,State,Vote Share,candidate
791,FL,48.84%,bush_00
792,GA,42.98%,bush_00
793,ID,27.64%,bush_00
794,IN,41.01%,bush_00
795,KS,37.24%,bush_00
796,KY,41.37%,bush_00
797,LA,44.88%,bush_00
798,MS,40.70%,bush_00
799,MO,47.08%,bush_00
800,MT,33.36%,bush_00
801,NE,33.25%,bush_00
802,NV,45.98%,bush_00
803,NH,46.80%,bush_00
804,NC,43.20%,bush_00
805,ND,33.06%,bush_00
806,OH,46.46%,bush_00
807,OK,38.43%,bush_00
808,SC,40.90%,bush_00
809,SD,37.56%,bush_00
810,TN,47.28%,bush_00
811,TX,37.98%,bush_00
812,UT,26.34%,bush_00
813,VA,44.44%,bush_00
814,WV,45.59%,bush_00
815,WY,27.70%,bush_00
816,CA,3.82%,nader_00
817,CT,4.42%,nader_00
818,DE,2.54%,nader_00
819,DC,5.24%,nader_00
820,HI,5.88%,nader_00
821,IL,2.19%,nader_00
822,IA,2.23%,nader_00
823,ME,5.70%,nader_00
824,MD,2.65%,nader_00
825,MA,6.42%,nader_00
826,MI,1.99%,nader_00
827,MN,5.20%,nader_00
828,NJ,2.97%,nader_00
829,NM,3.55%,nader_00
830,NY,3.58%,nader_00
831,OR,5.04%,nader_00
832,PA,2.10%,nader_00
833,RI,6.12%,nader_00
834,VT,6.92%,nader_00
835,WA,4.14%,nader_00
836,WI,3.62%,nader_00
837,AL,1.10%,nader_00
838,AK,10.07%,nader_00
839,AZ,2.98%,nader_00
840,AR,1.46%,nader_00
841,CO,5.25%,nader_00
842,FL,1.63%,nader_00
843,GA,0.52%,nader_00
844,ID,2.45%,nader_00
845,IN,0.84%,nader_00
846,KS,3.37%,nader_00
847,KY,1.50%,nader_00
848,LA,1.16%,nader_00
849,MS,0.82%,nader_00
850,MO,1.63%,nader_00
851,MT,5.95%,nader_00
852,NE,3.52%,nader_00
853,NV,2.46%,nader_00
854,NH,3.90%,nader_00
855,NC,0.30%,nader_00
856,ND,3.29%,nader_00
857,OH,2.50%,nader_00
858,OK,0.73%,nader_00
859,SC,1.46%,nader_00
860,SD,1.05%,nader_00
861,TN,0.95%,nader_00
862,TX,2.15%,nader_00
863,UT,4.65%,nader_00
864,VA,2.17%,nader_00
865,WV,1.65%,nader_00
866,WY,2.12%,nader_00
867,CA,44.36%,kerry_04
868,CT,43.95%,kerry_04
869,DE,45.75%,kerry_04
870,DC,9.34%,kerry_04
871,HI,45.26%,kerry_04
872,IL,44.48%,kerry_04
873,ME,44.58%,kerry_04
874,MD,42.93%,kerry_04
875,MA,36.78%,kerry_04
876,MI,47.81%,kerry_04
877,MN,47.61%,kerry_04
878,NH,48.87%,kerry_04
879,NJ,46.24%,kerry_04
880,NY,40.08%,kerry_04
881,OR,47.19%,kerry_04
882,PA,48.42%,kerry_04
883,RI,38.67%,kerry_04
884,VT,38.80%,kerry_04
885,WA,45.64%,kerry_04
886,WI,49.32%,kerry_04
887,AL,62.46%,kerry_04
888,AK,61.07%,kerry_04
